,ISSN,Title,Business Model,USD
481,2667-2685,Clinical Nutrition Open Science,Open access,1200
482,0936-6555,Clinical Oncology,Hybrid,2880
483,2590-1125,Clinical Parkinsonism & Related Disorders,Open access,2400
484,1522-8401,Clinical Pediatric Emergency Medicine,Hybrid,2760
485,0272-7358,Clinical Psychology Review,Hybrid,4670
486,0009-9260,Clinical Radiology,Hybrid,3200
487,1876-1399,Clinical Simulation in Nursing,Hybrid,2500
488,2666-0547,Clinical Spectroscopy,Open access,1750
489,2773-160X,Clinical Surgical Oncology,Open access,2000
490,0149-2918,Clinical Therapeutics,Hybrid,4210
491,1807-5932,Clinics,Open access,1700
492,2210-7401,Clinics and Research in Hepatology and Gastroenterology,Hybrid,2760
493,0738-081X,Clinics in Dermatology,Hybrid,3650
494,0214-9168,Clínica e Investigación en Arteriosclerosis,Hybrid,1640
495,2529-9123,Clínica e Investigación en Arteriosclerosis (English Edition),Hybrid,**
496,0210-573X,Clínica e Investigación en Ginecología y Obstetricia,Hybrid,2440
497,0378-3839,Coastal Engineering,Hybrid,4440
498,0010-0277,Cognition,Hybrid,3620
499,1077-7229,Cognitive and Behavioral Practice,Hybrid,3000
500,0885-2014,Cognitive Development,Hybrid,3030
501,0010-0285,Cognitive Psychology,Hybrid,3560
502,1389-0417,Cognitive Systems Research,Hybrid,2980
503,0165-232X,Cold Regions Science and Technology,Hybrid,2970
504,1322-7696,Collegian,Hybrid,2000
505,2215-0382,Colloid and Interface Science Communications,Open access,1440
506,0927-7757,Colloids and Surfaces A: Physicochemical and Engineering Aspects,Hybrid,3110
507,0927-7765,Colloids and Surfaces B: Biointerfaces,Hybrid,3530
508,2949-7590,Colloids and Surfaces C: Environmental Aspects,Hybrid,2500
509,0010-2180,Combustion and Flame,Hybrid,3800
510,1007-5704,Communications in Nonlinear Science and Numerical Simulation,Hybrid,3460
511,2772-4247,Communications in Transportation Research,Open access,1250
512,1095-6433,Comparative Biochemistry and Physiology - Part A: Molecular & Integrative Physiology,Hybrid,3180
513,1096-4959,Comparative Biochemistry and Physiology - Part B: Biochemistry & Molecular Biology,Hybrid,3160
514,1532-0456,Comparative Biochemistry and Physiology - Part C: Toxicology & Pharmacology,Hybrid,3000
515,1744-117X,Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics,Hybrid,3230
516,0147-9571,"Comparative Immunology, Microbiology & Infectious Diseases",Hybrid,3180
517,1744-3881,Complementary Therapies in Clinical Practice,Hybrid,2910
518,0965-2299,Complementary Therapies in Medicine,Open access,2280
519,0263-8223,Composite Structures,Hybrid,4270
520,2452-2139,Composites Communications,Hybrid,2970
521,1359-835X,Composites Part A: Applied Science and Manufacturing,Hybrid,4480
522,1359-8368,Composites Part B: Engineering,Hybrid,4860
523,2666-6820,Composites Part C: Open Access,Open access,1980
524,0266-3538,Composites Science and Technology,Hybrid,4480
525,0010-440X,Comprehensive Psychiatry,Open access,2610
526,2666-4976,Comprehensive Psychoneuroendocrinology,Open access,1750
527,2001-0370,Computational and Structural Biotechnology Journal,Open access,3230
528,2210-271X,Computational and Theoretical Chemistry,Hybrid,3480
529,1476-9271,Computational Biology and Chemistry,Hybrid,2960
530,2352-2143,Computational Condensed Matter,Hybrid,2870
531,0925-7721,Computational Geometry,Hybrid,2180
532,0927-0256,Computational Materials Science,Hybrid,3190
533,0167-9473,Computational Statistics & Data Analysis,Hybrid,3340
534,2468-1113,Computational Toxicology,Hybrid,3460
535,0167-8396,Computer Aided Geometric Design,Hybrid,2840
536,0140-3664,Computer Communications,Hybrid,2300
537,0267-3649,Computer Law & Security Review,Hybrid,3900
538,0169-2607,Computer Methods and Programs in Biomedicine,Hybrid,2880
539,2666-9900,Computer Methods and Programs in Biomedicine Update,Open access,1500
540,0045-7825,Computer Methods in Applied Mechanics and Engineering,Hybrid,4480
541,1389-1286,Computer Networks,Hybrid,2370
542,0010-4655,Computer Physics Communications,Hybrid,3410
543,1574-0137,Computer Science Review,Hybrid,3300
544,0885-2308,Computer Speech and Language,Hybrid,3400
545,0920-5489,Computer Standards & Interfaces,Hybrid,2850
546,1077-3142,Computer Vision and Image Understanding,Hybrid,2200
547,0010-4485,Computer-Aided Design,Hybrid,3390
548,0895-6111,Computerized Medical Imaging and Graphics,Hybrid,2760
549,0098-1354,Computers & Chemical Engineering,Hybrid,4070
550,0360-1315,Computers & Education,Hybrid,4500
551,2949-6780,Computers & Education: X Reality,Open access,1800
552,0045-7906,Computers & Electrical Engineering,Hybrid,2880
553,0045-7930,Computers & Fluids,Hybrid,3860
554,0098-3004,Computers & Geosciences,Hybrid,3630
555,0097-8493,Computers & Graphics,Hybrid,2690
556,0360-8352,Computers & Industrial Engineering,Hybrid,3310
557,0898-1221,Computers & Mathematics with Applications,Hybrid,3310
558,0305-0548,Computers & Operations Research,Hybrid,3340
559,0167-4048,Computers & Security,Hybrid,3190
560,0045-7949,Computers & Structures,Hybrid,4130
561,8755-4615,Computers and Composition,Hybrid,4010
562,2666-5573,Computers & Education Open,Open access,1300
563,2666-920X,Computers & Education: Artificial Intelligence,Open access,2070
564,0168-1699,Computers and Electronics in Agriculture,Hybrid,3680
565,0266-352X,Computers and Geotechnics,Hybrid,3480
566,0010-4825,Computers in Biology and Medicine,Hybrid,2610
567,0747-5632,Computers in Human Behavior,Hybrid,3670
568,2451-9588,Computers in Human Behavior Reports,Open access,1580
569,2949-8821,Computers in Human Behavior: Artificial Humans,Open access,1500
570,0166-3615,Computers in Industry,Hybrid,4010
571,0198-9715,"Computers, Environment and Urban Systems",Hybrid,3740
572,1053-8100,Consciousness and Cognition,Hybrid,3000
573,0950-0618,Construction and Building Materials,Hybrid,3960
574,1367-0484,Contact Lens & Anterior Eye,Hybrid,3740
575,1551-7144,Contemporary Clinical Trials,Hybrid,2900
576,2451-8654,Contemporary Clinical Trials Communications,Open access,1950
577,0361-476X,Contemporary Educational Psychology,Hybrid,4310
578,2772-9737,Continence,Open access,1800
579,2772-9745,Continence Reports,Open access,900
580,0278-4343,Continental Shelf Research,Hybrid,3350
581,0010-7824,Contraception,Hybrid,3400
582,2590-1516,Contraception: X,Open access,2250
583,0967-0661,Control Engineering Practice,Hybrid,2920
584,0010-8545,Coordination Chemistry Reviews,Hybrid,5570
585,2667-2669,Corrosion Communications,Open access,1800
586,0010-938X,Corrosion Science,Hybrid,4250
587,0010-9452,Cortex,Hybrid,3460
588,0195-6671,Cretaceous Research,Hybrid,3140
589,1441-2772,Critical Care and Resuscitation,Open access,2000
590,1045-2354,Critical Perspectives On Accounting,Hybrid,3890
591,1040-8428,Critical Reviews in Oncology/Hematology,Hybrid,3690
592,2773-126X,Crop and Environment,Open access,1750
593,2772-8994,Crop Design,Open access,1600
594,0261-2194,Crop Protection,Hybrid,4110
595,0011-2240,Cryobiology,Hybrid,3670
596,0011-2275,Cryogenics,Hybrid,2780
597,1567-1739,Current Applied Physics,Hybrid,2200
598,0960-9822,Current Biology,Hybrid,6830
599,2475-2991,Current Developments in Nutrition,Open access,4000
600,2352-1546,Current Opinion in Behavioral Sciences,Hybrid,3840
601,2468-4511,Current Opinion in Biomedical Engineering,Hybrid,3560
602,0958-1669,Current Opinion in Biotechnology,Hybrid,4890
603,0955-0674,Current Opinion in Cell Biology,Hybrid,4530
604,1367-5931,Current Opinion in Chemical Biology,Hybrid,4660
605,2211-3398,Current Opinion in Chemical Engineering,Hybrid,4010
606,1359-0294,Current Opinion in Colloid & Interface Science,Hybrid,4260
607,2451-9103,Current Opinion in Electrochemistry,Hybrid,3520
608,2451-9650,Current Opinion in Endocrine and Metabolic Research,Hybrid,3320
609,2468-5844,Current Opinion in Environmental Science & Health,Hybrid,3590
610,1877-3435,Current Opinion in Environmental Sustainability,Hybrid,4360
611,2214-7993,Current Opinion in Food Science,Hybrid,4110
612,0959-437X,Current Opinion in Genetics & Development,Hybrid,4050
613,2452-2236,Current Opinion in Green and Sustainable Chemistry,Hybrid,3300
614,0952-7915,Current Opinion in Immunology,Hybrid,4120
615,2214-5745,Current Opinion in Insect Science,Hybrid,3800
616,1369-5274,Current Opinion in Microbiology,Hybrid,3970
617,0959-4388,Current Opinion in Neurobiology,Hybrid,4480
618,1471-4892,Current Opinion in Pharmacology,Hybrid,2980
619,2468-8673,Current Opinion in Physiology,Hybrid,3500
620,1369-5266,Current Opinion in Plant Biology,Hybrid,4670
621,2352-250X,Current Opinion in Psychology,Hybrid,3850
622,1359-0286,Current Opinion in Solid State & Materials Science,Hybrid,3970
623,0959-440X,Current Opinion in Structural Biology,Hybrid,4530
624,2452-3100,Current Opinion in Systems Biology,Hybrid,3500
625,2468-2020,Current Opinion in Toxicology,Hybrid,4120
626,1879-6257,Current Opinion in Virology,Hybrid,3480
627,2214-6628,Current Plant Biology,Open access,2840
628,0147-0272,Current Problems in Cancer,Hybrid,2860
629,2666-6219,Current Problems in Cancer: Case Reports,Open access,780
630,0146-2806,Current Problems in Cardiology,Hybrid,3390
631,0363-0188,Current Problems in Diagnostic Radiology,Hybrid,3140
632,1538-5442,Current Problems in Pediatric and Adolescent Health Care,Hybrid,3640
633,0011-3840,Current Problems in Surgery,Hybrid,3620
634,2666-5182,Current Research in Behavioral Sciences,Open access,2880
635,2590-2628,Current Research in Biotechnology,Open access,2280
636,2666-2469,Current Research in Chemical Biology,Open access,1850
637,2666-6227,Current Research in Ecological and Social Psychology,Open access,2500
638,2666-0490,Current Research in Environmental Sustainability,Open access,1750
639,2665-9271,Current Research in Food Science,Open access,2500
640,2666-0865,Current Research in Green and Sustainable Chemistry,Open access,2110
641,2590-2555,Current Research in Immunology,Open access,2380
642,2666-5158,Current Research in Insect Science,Open access,1600
643,2666-5174,Current Research in Microbial Sciences,Open access,2250
644,2665-945X,Current Research in Neurobiology,Open access,2500
645,2667-114X,Current Research in Parasitology & Vector-Borne Diseases,Open access,1900
646,2590-2571,Current Research in Pharmacology and Drug Discovery,Open access,2250
647,2665-9441,Current Research in Physiology,Open access,2330
648,2665-928X,Current Research in Structural Biology,Open access,2500
649,2666-027X,Current Research in Toxicology,Open access,2130
650,2452-3186,Current Research in Translational Medicine,Hybrid,3160
651,0011-393X,Current Therapeutic Research,Open access,2300
652,1877-1297,Currents in Pharmacy Teaching and Learning,Hybrid,2940
653,1043-4666,Cytokine,Hybrid,2910
654,1359-6101,Cytokine & Growth Factor Reviews,Hybrid,4100
655,1465-3249,Cytotherapy,Hybrid,3300
656,0169-023X,Data & Knowledge Engineering,Hybrid,2590
657,2543-9251,Data and Information Management,Open access,1350
658,2352-3409,Data in Brief,Open access,800
659,2949-8813,DeCarbon,Open access,2200
660,2772-6622,Decision Analytics Journal,Open access,1500
661,0167-9236,Decision Support Systems,Hybrid,3280
662,2949-6691,Deep Brain Stimulation,Open access,2500
663,0967-0637,Deep-Sea Research Part I: Oceanographic Research Papers,Hybrid,3000
664,0967-0645,Deep-Sea Research Part II: Topical Studies in Oceanography,Hybrid,3400
665,1125-7865,Dendrochronologia,Hybrid,2970
666,0109-5641,Dental Materials,Hybrid,4170
667,2772-5596,Dentistry Review,Open access,1950
668,0011-9164,Desalination,Hybrid,4580
669,0142-694X,Design Studies,Hybrid,3850
670,2352-7285,Development Engineering,Open access,2220
671,0145-305X,Developmental & Comparative Immunology,Hybrid,3350
672,0012-1606,Developmental Biology,Hybrid,3690
673,1534-5807,Developmental Cell,Hybrid,9080
674,1878-9293,Developmental Cognitive Neuroscience,Open access,3280
675,0273-2297,Developmental Review,Hybrid,4600
676,2666-1659,Developments in the Built Environment,Open access,2660
677,2666-9986,Device,Hybrid,9080
678,1871-4021,Diabetes & Metabolic Syndrome: Clinical Research & Reviews,Hybrid,3890
679,1262-3636,Diabetes & Metabolism,Hybrid,4110
680,2666-9706,Diabetes Epidemiology and Management,Open access,2190
681,0168-8227,Diabetes Research and Clinical Practice,Hybrid,4120
682,2211-5684,Diagnostic and Interventional Imaging,Hybrid,3520
683,0732-8893,Diagnostic Microbiology and Infectious Disease,Hybrid,3100
684,2772-6533,Dialogues in Health,Open access,1100
685,0925-9635,Diamond and Related Materials,Hybrid,2500
686,0926-2245,Differential Geometry and its Applications,Hybrid,2630
687,0301-4681,Differentiation,Hybrid,3000
688,1590-8658,Digestive and Liver Disease,Hybrid,3300
689,2212-0548,Digital Applications in Archaeology and Cultural Heritage,Hybrid,3120
690,2666-9544,Digital Business,Open access,1500
691,2772-5081,Digital Chemical Engineering,Open access,1800
692,2666-3783,Digital Geography and Society,Open access,1200
693,1051-2004,Digital Signal Processing,Hybrid,2480
694,1936-6574,Disability and Health Journal,Hybrid,3880
695,2211-6958,"Discourse, Context & Media",Hybrid,3540
696,0166-218X,Discrete Applied Mathematics,Hybrid,2750
697,0012-365X,Discrete Mathematics,Hybrid,3000
698,1572-5286,Discrete Optimization,Hybrid,2560
699,0011-5029,Disease-A-Month,Hybrid,2970
700,0141-9382,Displays,Hybrid,2470
701,1568-7864,DNA Repair,Hybrid,3580
702,0739-7240,Domestic Animal Endocrinology,Hybrid,3210
703,1624-5687,Douleurs,Hybrid,2510
704,0376-8716,Drug and Alcohol Dependence,Hybrid,4090
705,2772-7246,Drug and Alcohol Dependence Reports,Open access,2000
706,1359-6446,Drug Discovery Today,Hybrid,4820
707,1347-4367,Drug Metabolism and Pharmacokinetics,Hybrid,3580
708,1368-7646,Drug Resistance Updates,Hybrid,5260
709,0143-7208,Dyes and Pigments,Hybrid,3100
710,0377-0265,Dynamics of Atmospheres and Oceans,Hybrid,2620
711,2772-6711,e-Prime,Open access,1400
712,0885-2006,Early Childhood Research Quarterly,Hybrid,3890
713,0378-3782,Early Human Development,Hybrid,3620
714,0012-821X,Earth and Planetary Science Letters,Hybrid,4130
715,2589-8116,Earth System Governance,Open access,1640
716,0012-8252,Earth-Science Reviews,Hybrid,4750
717,1471-0153,Eating Behaviors,Hybrid,3370
718,2352-3964,eBioMedicine,Open access,5000
719,2589-5370,eClinicalMedicine,Open access,5000
720,2772-9850,Eco-Environment & Health,Open access,2200
721,1642-3593,Ecohydrology & Hydrobiology,Hybrid,2300
722,1476-945X,Ecological Complexity,Hybrid,2790
723,0921-8009,Ecological Economics,Hybrid,3690
724,0925-8574,Ecological Engineering,Hybrid,3500
725,2405-9854,Ecological Genetics and Genomics,Hybrid,2440
726,1470-160X,Ecological Indicators,Open access,2780
727,1574-9541,Ecological Informatics,Hybrid,2200
728,0304-3800,Ecological Modelling,Hybrid,2780
729,2452-3062,Econometrics and Statistics,Hybrid,1540
730,0313-5926,Economic Analysis and Policy,Hybrid,2250
731,0264-9993,Economic Modelling,Hybrid,3020
732,0939-3625,Economic Systems,Hybrid,2180
733,1570-677X,Economics & Human Biology,Hybrid,2750
734,0165-1765,Economics Letters,Hybrid,2860
735,0272-7757,Economics of Education Review,Hybrid,2680
736,2212-0122,Economics of Transportation,Hybrid,2140
737,2212-0416,Ecosystem Services,Hybrid,3960
738,0147-6513,Ecotoxicology and Environmental Safety,Open access,2850
739,1575-1813,Educación Médica,Open access,550
740,1749-7728,Education for Chemical Engineers,Hybrid,3690
741,1747-938X,Educational Research Review,Hybrid,4070
742,2667-0410,EFB Bioeconomy Journal,Open access,1800
743,1110-8665,Egyptian Informatics Journal,Open access,1200
744,1687-4285,Egyptian Journal of Aquatic Research,Open access,**
745,1110-0621,Egyptian Journal of Petroleum,,**
746,2772-610X,EJC Paediatric Oncology,Open access,2200
747,2772-6118,EJC Skin Cancer,Open access,2200
748,2666-688X,EJVES Vascular Forum,Open access,1630
749,0261-3794,Electoral Studies,Hybrid,2730
750,0378-7796,Electric Power Systems Research,Hybrid,2480
751,1388-2481,Electrochemistry Communications,Open access,2430
752,0013-4686,Electrochimica Acta,Hybrid,3870
753,1567-4223,Electronic Commerce Research and Applications,Hybrid,3050
754,0717-3458,Electronic Journal of Biotechnology,Open access,1500
755,2772-8137,Emerging Animal Species,Open access,1900
756,1566-0141,Emerging Markets Review,Hybrid,2850
757,2667-1182,"Emerging Trends in Drugs, Addictions, and Health",Open access,2000
758,1755-4586,"Emotion, Space and Society",Hybrid,3250
759,0160-9327,Endeavour,Hybrid,2840
760,2666-3961,Endocrine and Metabolic Science,Open access,2500
761,1530-891X,Endocrine Practice,Hybrid,3000
762,2530-0164,"Endocrinología, Diabetes y Nutrición",Hybrid,1640
763,2530-0180,"Endocrinología, Diabetes y Nutrición (English edition)",Hybrid,**
764,0360-5442,Energy,Hybrid,3980
765,2666-5468,Energy and AI,Open access,3000
766,0378-7788,Energy and Buildings,Hybrid,4020
767,2666-2787,Energy and Climate Change,Hybrid,2800
768,0196-8904,Energy Conversion and Management,Hybrid,4300
769,2590-1745,Energy Conversion and Management: X,Open access,2390
770,0140-9883,Energy Economics,Hybrid,3530
771,2950-1563,Energy Efficiency First,Open access,2000
772,0973-0826,Energy for Sustainable Development,Hybrid,2750
773,2772-4271,Energy Nexus,Open access,1850
774,0301-4215,Energy Policy,Hybrid,3500
775,2352-4847,Energy Reports,Open access,2530
776,2214-6296,Energy Research & Social Science,Hybrid,3300
777,2772-9702,Energy Reviews,Open access,2500
778,2405-8297,Energy Storage Materials,Hybrid,4070
779,2211-467X,Energy Strategy Reviews,Open access,3100
780,2589-7780,EnergyChem,Hybrid,2450
781,2405-6502,eNeurologicalSci,Open access,2810
782,0213-005X,Enfermedades Infecciosas y Microbiología Clínica,Hybrid,2280
783,2529-993X,Enfermedades Infecciosas y Microbiología Clínica (English edition),Hybrid,2280
784,1130-8621,Enfermería Clínica,Hybrid,2400
785,2445-1479,Enfermería Clínica (English Edition),Hybrid,2400
786,1130-2399,Enfermería Intensiva,Hybrid,2040
787,2529-9840,Enfermería Intensiva (English edition),Hybrid,2040
788,2095-8099,Engineering,Open access,1300
789,0955-7997,Engineering Analysis with Boundary Elements,Hybrid,3560
790,0952-1976,Engineering Applications of Artificial Intelligence,Hybrid,3170
791,1350-6307,Engineering Failure Analysis,Hybrid,3600
792,0013-7944,Engineering Fracture Mechanics,Hybrid,3880
793,0013-7952,Engineering Geology,Hybrid,3900
794,2667-3703,Engineering Microbiology,Open access,2300
795,2215-0986,"Engineering Science and Technology, an International Journal",Open access,1270
796,0141-0296,Engineering Structures,Hybrid,4270
797,0889-4906,English for Specific Purposes,Hybrid,3490
798,1875-9521,Entertainment Computing,Hybrid,2760
799,0160-4120,Environment International,Open access,3790
800,2666-7657,Environmental Advances,Open access,1750
801,0098-8472,Environmental and Experimental Botany,Hybrid,3660
802,2665-9727,Environmental and Sustainability Indicators,Open access,1460
803,2667-0100,Environmental Challenges,Open access,1800
804,2211-4645,Environmental Development,Hybrid,3010
805,0195-9255,Environmental Impact Assessment Review,Hybrid,3400
806,2210-4224,Environmental Innovation and Societal Transitions,Hybrid,3410
807,1364-8152,Environmental Modelling & Software,Hybrid,3400
808,2215-1532,"Environmental Nanotechnology, Monitoring and Management",Hybrid,2960
809,0269-7491,Environmental Pollution,Hybrid,3770
810,0013-9351,Environmental Research,Hybrid,3550
811,1462-9011,Environmental Science & Policy,Hybrid,3850
812,2666-4984,Environmental Science & Ecotechnology,Open access,2000
813,2352-1864,Environmental Technology & Innovation,Open access,2400
814,1382-6689,Environmental Toxicology and Pharmacology,Hybrid,3700
815,0141-0229,Enzyme and Microbial Technology,Hybrid,3590
816,1755-4365,Epidemics,Open access,2860
817,1525-5050,Epilepsy & Behavior,Hybrid,3300
818,2589-9864,Epilepsy & Behavior Reports,Open access,2310
819,0920-1211,Epilepsy Research,Hybrid,2940
820,2949-8198,ESMO Gastrointestinal Oncology,Open access,3020
821,2059-7029,ESMO Open,Open access,3510
822,2949-8201,ESMO Real World Data and Digital Oncology,Open access,3020
823,0272-7714,"Estuarine, Coastal and Shelf Science",Hybrid,3250
824,2352-5525,"Ethics, Medicine and Public Health",Hybrid,2580
825,2590-1168,eTransportation,Hybrid,2480
826,2212-9685,EuPA Open Proteomics,Open access,1700
827,2192-4406,EURO Journal on Computational Optimization,Open access,1400
828,2193-9438,EURO Journal on Decision Processes,Open access,1400
829,2192-4376,EURO Journal on Transportation and Logistics,Open access,1400
830,1879-7296,"European Annals of Otorhinolaryngology, Head and Neck Diseases",Hybrid,3300
831,0014-2921,European Economic Review,Hybrid,3050
832,1161-0301,European Journal of Agronomy,Hybrid,3450
833,0959-8049,European Journal of Cancer,Hybrid,3800
834,1359-6349,European Journal of Cancer - Supplement,Open access,**
835,0171-9335,European Journal of Cell Biology,Open access,2600
836,0195-6698,European Journal of Combinatorics,Hybrid,2880
837,0947-3580,European Journal of Control,Hybrid,2850
838,1876-3820,European Journal of Integrative Medicine,Hybrid,2330
839,0953-6205,European Journal of Internal Medicine,Hybrid,3520
840,0997-7538,European Journal of Mechanics - A/Solids,Hybrid,3810
841,0997-7546,European Journal of Mechanics - B/Fluids,Hybrid,2890
842,1769-7212,European Journal of Medical Genetics,Hybrid,2800
843,0223-5234,European Journal of Medicinal Chemistry,Hybrid,4710
844,2772-4174,European Journal of Medicinal Chemistry Reports,Open access,1500
845,0301-2115,European Journal of Obstetrics & Gynecology and Reproductive Biology,Hybrid,3100
846,2590-1613,European Journal of Obstetrics & Gynecology and Reproductive Biology: X,Open access,2400
847,1462-3889,European Journal of Oncology Nursing,Hybrid,3570
848,0377-2217,European Journal of Operational Research,Hybrid,3290
849,1090-3798,European Journal of Paediatric Neurology,Hybrid,2940
850,0928-0987,European Journal of Pharmaceutical Sciences,Open access,2530
851,0939-6411,European Journal of Pharmaceutics and Biopharmaceutics,Hybrid,4270
852,0014-2999,European Journal of Pharmacology,Hybrid,2940
853,0176-2680,European Journal of Political Economy,Hybrid,3380
854,0932-4739,European Journal of Protistology,Hybrid,3290
855,0720-048X,European Journal of Radiology,Hybrid,3550
856,2352-0477,European Journal of Radiology Open,Open access,2440
857,1164-5563,European Journal of Soil Biology,Hybrid,3270
858,0748-7983,European Journal of Surgical Oncology,Hybrid,3570
859,2468-7499,European Journal of Trauma & Dissociation,Hybrid,1640
860,1078-5884,European Journal of Vascular and Endovascular Surgery,Hybrid,3760
861,0263-2373,European Management Journal,Hybrid,2160
862,0924-977X,European Neuropsychopharmacology,Hybrid,3000
863,0014-3057,European Polymer Journal,Hybrid,4010
864,2444-8834,European Research on Management and Business Economics,Open access,1350
865,1162-9088,European Review of Applied Psychology,Hybrid,2910
866,0302-2838,European Urology,Hybrid,5250
867,2405-4569,European Urology Focus,Hybrid,3800
868,2588-9311,European Urology Oncology,Hybrid,3790
869,2666-1683,European Urology Open Science,Open access,1800
870,0149-7189,Evaluation and Program Planning,Hybrid,3590
871,1090-5138,Evolution and Human Behavior,Hybrid,3740
872,2950-1172,Evolving Earth,Open access,2000
873,2666-657X,Examples and Counterexamples,Open access,330
874,0014-4800,Experimental and Molecular Pathology,Open access,1900
875,0014-4827,Experimental Cell Research,Hybrid,2910
876,0014-4835,Experimental Eye Research,Hybrid,3860
877,0531-5565,Experimental Gerontology,Open access,2800
878,0301-472X,Experimental Hematology,Hybrid,3000
879,0014-4886,Experimental Neurology,Hybrid,3810
880,0014-4894,Experimental Parasitology,Hybrid,3210
881,0894-1777,Experimental Thermal and Fluid Science,Hybrid,3880
882,0957-4174,Expert Systems with Applications,Hybrid,3220
883,0014-4983,Explorations in Economic History,Hybrid,3170
884,2667-2766,Exploratory Research in Clinical and Social Pharmacy,Open access,1800
885,1550-8307,EXPLORE,Hybrid,2170
886,0723-0869,Expositiones Mathematicae,Hybrid,3180
887,2773-0417,Extracellular Vesicle,Open access,2800
888,2352-4316,Extreme Mechanics Letters,Hybrid,3370
889,2666-3341,F&S Reports,Open access,2000
890,2666-5719,F&S Reviews,Hybrid,3500
891,2666-335X,F&S Science,Hybrid,3500
892,1130-6343,Farmacia Hospitalaria,Open access,1640
893,2949-9119,Farming System,Open access,1800
894,0015-0282,Fertility and Sterility,Hybrid,4020
895,0378-4290,Field Crops Research,Hybrid,3970
896,1544-6123,Finance Research Letters,Hybrid,3220
897,0168-874X,Finite Elements in Analysis and Design,Hybrid,3080
898,1071-5797,Finite Fields and Their Applications,Hybrid,2530
899,0379-7112,Fire Safety Journal,Hybrid,3510
900,2949-8406,First Nations Health and Wellbeing - The Lowitja Journal,Open access,500
901,1050-4648,Fish and Shellfish Immunology,Hybrid,4420
902,0165-7836,Fisheries Research,Hybrid,3570
903,0211-5638,Fisioterapia,Hybrid,1960
904,0367-326X,Fitoterapia,Hybrid,3680
905,2452-2627,FlatChem,Hybrid,2890
906,0367-2530,Flora,Hybrid,2820
907,0955-5986,Flow Measurement and Instrumentation,Hybrid,3200
908,0378-3812,Fluid Phase Equilibria,Hybrid,3760
909,0960-3085,Food and Bioproducts Processing,Hybrid,3770
910,0278-6915,Food and Chemical Toxicology,Hybrid,4350
911,2949-8244,Food and Humanity,Hybrid,2900
912,2405-6766,Food and Waterborne Parasitology,Open access,2000
913,2212-4292,Food Bioscience,Hybrid,3210
914,0308-8146,Food Chemistry,Hybrid,4440
915,2772-753X,Food Chemistry Advances,Open access,1750
916,2666-5662,Food Chemistry: Molecular Sciences,Open access,2000
917,2590-1575,Food Chemistry: X,Open access,2350
918,0956-7135,Food Control,Hybrid,4430
919,0268-005X,Food Hydrocolloids,Hybrid,4650
920,2667-0259,Food Hydrocolloids for Health,Open access,2400
921,0740-0020,Food Microbiology,Hybrid,4260
922,2214-2894,Food Packaging and Shelf Life,Hybrid,4310
923,0306-9192,Food Policy,Hybrid,3710
924,0950-3293,Food Quality and Preference,Hybrid,4480
925,0963-9969,Food Research International,Hybrid,4030
926,2213-3291,Food Structure,Hybrid,3470
927,2352-2496,Food Webs,Hybrid,2830
928,2667-3967,"Foot & Ankle Surgery: Techniques, Reports & Cases",Open access,2000
929,1268-7731,Foot and Ankle Surgery,Hybrid,3900
930,2666-3597,Forces in Mechanics,Open access,1800
931,2468-1709,Forensic Chemistry,Hybrid,3870
932,2666-2256,Forensic Imaging,Hybrid,3090
933,0379-0738,Forensic Science International,Hybrid,4070
934,2666-9374,Forensic Science International: Animals and Environments,Open access,1700
935,2666-2817,Forensic Science International: Digital Investigation,Hybrid,3210
936,1872-4973,Forensic Science International: Genetics,Hybrid,4670
937,1875-1768,Forensic Science International: Genetics Supplement Series,Hybrid,3090
938,2666-3538,Forensic Science International: Mind and Law,Open access,1870
939,2665-9107,Forensic Science International: Reports,Open access,860
940,2589-871X,Forensic Science International: Synergy,Open access,1890
941,0378-1127,Forest Ecology and Management,Hybrid,3460
942,1389-9341,Forest Policy and Economics,Hybrid,3680
943,2773-1863,Franklin Open,Open access,1900
944,0891-5849,Free Radical Biology & Medicine,Hybrid,3740
945,0091-3022,Frontiers in Neuroendocrinology,Hybrid,4090
946,0016-2361,Fuel,Hybrid,4080
947,2666-0520,Fuel Communications,Open access,1700
948,0378-3820,Fuel Processing Technology,Hybrid,3000
949,2772-8285,Fundamental Plasma Physics,Open access,1000
950,1878-6146,Fungal Biology,Hybrid,2000
951,1749-4613,Fungal Biology Reviews,Hybrid,3000
952,1754-5048,Fungal Ecology,Hybrid,3200
953,1087-1845,Fungal Genetics and Biology,Hybrid,2970
954,2773-2150,Fungal Interactions,Open access,1950
955,0920-3796,Fusion Engineering and Design,Hybrid,2540
956,2950-2640,Future Batteries,Open access,1900
957,2666-8335,Future Foods,Open access,1800
958,0167-739X,Future Generation Computer Systems,Hybrid,3170
959,0016-3287,Futures,Hybrid,2450
960,0165-0114,Fuzzy Sets and Systems,Hybrid,2600
961,1619-9987,Fuss & Sprunggelenk,Hybrid,2280
962,0213-9111,Gaceta Sanitaria,,**
963,0966-6362,Gait & Posture,Hybrid,3240
964,0899-8256,Games and Economic Behavior,Hybrid,2540
965,2949-9089,Gas Science and Engineering,Hybrid,3450
966,2772-5723,Gastro Hep Advances,Open access,2000
967,0016-5085,Gastroenterology,Hybrid,3800
